[Parsed_volumedetect_2 @ 0x863008e40] n_samples: 0
[Parsed_ebur128_1 @ 0x863009200] t: 9.000979   TARGET:-23 LUFS    M:  -8.0 S:  -7.8     I:  -7.7 LUFS       LRA:   4.0 LU  FTPK:  -7.4  -6.8 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.100979   TARGET:-23 LUFS    M: -11.1 S:  -7.8     I:  -7.8 LUFS       LRA:   4.0 LU  FTPK:  -5.9  -6.9 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.200979   TARGET:-23 LUFS    M: -13.4 S:  -7.8     I:  -7.8 LUFS       LRA:   4.0 LU  FTPK:  -8.0  -5.9 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.300979   TARGET:-23 LUFS    M: -13.5 S:  -7.9     I:  -7.8 LUFS       LRA:   4.0 LU  FTPK:  -5.9  -6.1 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.400979   TARGET:-23 LUFS    M: -13.5 S:  -8.2     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:  -5.2  -6.4 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.500979   TARGET:-23 LUFS    M: -13.6 S:  -8.3     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:  -6.8  -7.4 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.600979   TARGET:-23 LUFS    M: -12.1 S:  -8.2     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:   0.1   0.6 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.700979   TARGET:-23 LUFS    M:  -7.7 S:  -7.8     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:   0.2   0.5 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.800979   TARGET:-23 LUFS    M:  -6.7 S:  -7.6     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:   0.4  -0.1 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 9.900979   TARGET:-23 LUFS    M:  -5.7 S:  -7.5     I:  -7.9 LUFS       LRA:   3.8 LU  FTPK:   0.3   0.3 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.000979  TARGET:-23 LUFS    M:  -5.2 S:  -7.4     I:  -7.8 LUFS       LRA:   3.8 LU  FTPK:   0.1   0.4 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.100979  TARGET:-23 LUFS    M:  -6.6 S:  -7.3     I:  -7.8 LUFS       LRA:   3.8 LU  FTPK:   0.5   0.2 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.200979  TARGET:-23 LUFS    M:  -5.7 S:  -7.2     I:  -7.8 LUFS       LRA:   3.8 LU  FTPK:   0.3   0.5 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.300979  TARGET:-23 LUFS    M:  -6.0 S:  -7.2     I:  -7.8 LUFS       LRA:   3.8 LU  FTPK:  -0.2  -0.4 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.400979  TARGET:-23 LUFS    M:  -6.8 S:  -7.3     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -5.2  -4.6 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.500979  TARGET:-23 LUFS    M:  -7.6 S:  -7.4     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -8.0  -8.6 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 10.600979  TARGET:-23 LUFS    M:  -9.8 S:  -7.4     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -0.9  -1.1 dBFS  TPK:   0.9   1.0 dBFS
